Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2021-07-25;19,00;99,75;2,38;2,38;4,75;11,00;7,00;3,00;3,00;3,00;3,00;3,00;1,00
2021-08-01;33,00;132,00;2,36;4,71;9,43;12,00;12,00;5,00;5,00;2,00;4,00;2,00;0,00
2021-08-08;35,00;180,00;5,00;5,00;10,00;12,00;13,00;3,00;6,00;5,00;5,00;2,00;1,00
2021-08-15;31,00;170,50;5,17;15,50;5,17;15,00;10,00;4,00;8,00;5,00;5,00;2,00;0,50
2021-08-22;28,00;149,33;4,67;4,67;9,33;13,00;11,00;4,00;7,00;3,00;4,00;2,00;1,00
2021-08-29;34,00;170,00;4,86;4,86;9,71;12,00;12,00;5,00;8,00;4,00;3,00;1,00;0,50
2021-09-05;33,00;174,43;9,43;4,71;9,43;10,00;10,00;5,00;7,00;6,00;5,00;2,00;1,00
2021-09-12;31,00;206,67;5,17;5,17;10,33;12,00;11,00;3,00;10,00;2,00;5,00;3,00;1,00
2021-09-19;28,00;200,67;4,67;4,67;9,33;11,00;13,00;3,00;10,00;3,00;4,00;3,00;1,00
2021-09-26;27,00;202,50;4,50;4,50;9,00;11,00;11,00;4,00;9,00;2,00;5,00;1,00;1,00
2021-10-03;28,00;252,00;4,67;4,67;9,33;8,00;11,00;4,00;6,00;3,00;4,00;4,00;0,00
2021-10-10;31,00;299,67;5,17;5,17;10,33;14,00;10,00;3,00;10,00;5,00;2,00;4,00;0,50
2021-10-17;27,00;291,60;5,40;5,40;10,80;9,00;13,00;5,00;9,00;4,00;3,00;2,00;1,00
2021-10-24;22,00;297,00;5,50;5,50;5,50;8,00;8,00;2,00;6,00;5,00;4,00;2,00;2,00
2021-10-31;22,00;346,50;5,50;5,50;11,00;10,00;9,00;3,00;6,00;3,00;6,00;3,00;1,00
2021-11-07;24,00;302,40;4,80;4,80;9,60;8,00;11,00;6,00;7,00;3,00;3,00;3,00;0,50
2021-11-14;17,00;334,33;11,33;5,67;11,33;9,00;8,00;3,00;7,00;3,00;2,00;1,00;0,50
2021-11-21;14,00;238,00;4,67;4,67;4,67;8,00;6,00;6,00;7,00;2,00;3,00;1,00;0,00
2021-11-28;16,00;208,00;2,67;5,33;16,00;5,00;9,00;2,00;7,00;2,00;2,00;1,00;0,50
2021-12-05;11,00;187,00;5,50;5,50;11,00;4,00;4,00;4,00;4,00;3,00;3,00;1,00;1,00
2021-12-12;11,00;209,00;5,50;5,50;11,00;9,00;6,00;2,00;6,00;4,00;2,00;1,00;0,00
2021-12-19;15,00;115,00;5,00;5,00;2,50;3,00;7,00;3,00;4,00;3,00;3,00;1,00;0,00
2021-12-26;20,00;195,00;2,50;5,00;5,00;8,00;8,00;3,00;4,00;4,00;2,00;2,00;1,00
2022-01-02;31,00;206,67;5,17;5,17;10,33;9,00;9,00;6,00;9,00;4,00;4,00;3,00;0,50
2022-01-09;31,00;258,33;5,17;5,17;10,33;13,00;15,00;5,00;7,00;6,00;3,00;1,00;2,00
2022-01-16;38,00;270,75;4,75;4,75;9,50;15,00;13,00;5,00;14,00;5,00;6,00;4,00;0,00
2022-01-23;36,00;308,57;5,14;5,14;10,29;15,00;14,00;4,00;10,00;9,00;6,00;2,00;1,00
2022-01-30;30,00;310,00;5,00;5,00;15,00;14,00;16,00;6,00;10,00;5,00;6,00;2,00;0,50
2022-02-06;32,00;292,57;4,57;4,57;9,14;17,00;12,00;6,00;12,00;4,00;7,00;2,00;2,00
2022-02-13;41,00;353,63;10,25;5,13;20,50;17,00;16,00;4,00;14,00;6,00;5,00;3,00;2,00
2022-02-20;35,00;345,00;10,00;5,00;10,00;16,00;13,00;4,00;11,00;7,00;6,00;4,00;1,00
2022-02-27;41,00;358,75;10,25;5,13;10,25;11,00;15,00;7,00;12,00;4,00;6,00;2,00;2,00
