Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-12-08;69,00;5,00;2,00;1,00;8,00;3,00;2,00;17,00;0,00;12,00;5,00;8,00;7,00;0,00;5,00;3,00;6,00;0,00;2,00;5,00;12,00;1,00;3,00;1,00;1,00;0,00;0,00;0,00
2019-12-15;63,00;3,00;2,00;1,00;6,00;1,00;0,00;20,00;3,00;14,00;7,00;5,00;5,00;0,00;5,00;2,00;2,00;0,00;3,00;5,00;12,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;100,00;8,00;3,00;4,00;4,00;4,00;1,00;15,00;1,00;14,00;14,00;4,00;26,00;0,00;15,00;4,00;8,00;0,00;1,00;7,00;19,00;3,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;88,00;7,00;5,00;1,00;15,00;4,00;3,00;20,00;3,00;23,00;9,00;11,00;24,00;0,00;17,00;1,00;12,00;1,00;3,00;1,00;27,00;0,00;7,00;1,00;0,00;0,00;0,00;0,00
2020-01-05;73,00;4,00;4,00;2,00;2,00;9,00;4,00;20,00;3,00;18,00;8,00;12,00;23,00;0,00;8,00;0,00;7,00;1,00;6,00;4,00;21,00;1,00;6,00;2,00;0,00;0,00;0,00;0,00
2020-01-12;63,00;9,00;2,00;1,00;5,00;5,00;1,00;22,00;1,00;11,00;20,00;10,00;27,00;0,00;4,00;2,00;8,00;2,00;8,00;1,00;14,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00
2020-01-19;49,00;7,00;3,00;1,00;7,00;1,00;3,00;17,00;3,00;17,00;8,00;2,00;23,00;1,00;1,00;2,00;9,00;0,00;3,00;3,00;14,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00
2020-01-26;66,00;10,00;4,00;6,00;9,00;0,00;2,00;11,00;0,00;10,00;12,00;10,00;13,00;0,00;8,00;2,00;7,00;0,00;2,00;1,00;13,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;86,00;10,00;8,00;3,00;10,00;2,00;4,00;17,00;0,00;16,00;17,00;14,00;14,00;0,00;2,00;0,00;7,00;0,00;4,00;1,00;6,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00
2020-02-09;94,00;10,00;3,00;1,00;4,00;5,00;2,00;21,00;0,00;21,00;10,00;16,00;21,00;0,00;13,00;0,00;9,00;2,00;3,00;8,00;24,00;1,00;3,00;0,00;1,00;0,00;0,00;0,00
2020-02-16;61,00;9,00;4,00;3,00;4,00;2,00;1,00;14,00;1,00;11,00;7,00;7,00;10,00;0,00;8,00;1,00;6,00;2,00;1,00;2,00;10,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-02-23;46,00;6,00;7,00;0,00;3,00;4,00;3,00;15,00;1,00;9,00;6,00;7,00;19,00;0,00;8,00;2,00;3,00;0,00;3,00;4,00;10,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;53,00;4,00;4,00;0,00;3,00;1,00;1,00;11,00;1,00;12,00;6,00;6,00;7,00;0,00;7,00;0,00;2,00;1,00;2,00;2,00;10,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00
2020-03-08;42,00;6,00;6,00;1,00;9,00;7,00;2,00;15,00;2,00;7,00;9,00;8,00;14,00;0,00;4,00;1,00;5,00;0,00;7,00;9,00;9,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-03-15;18,00;3,00;1,00;0,00;1,00;0,00;0,00;2,00;0,00;2,00;2,00;6,00;2,00;0,00;1,00;0,00;2,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;6,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;9,00;1,00;2,00;0,00;0,00;2,00;0,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;2,00;1,00;1,00;0,00;0,00;2,00;0,00;2,00;0,00;2,00;1,00;0,00;2,00;0,00;1,00;0,00;1,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
