Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2021-05-09;24,00;28,00;20,00;20,00;0,00;0,00;4,00;32,00;4,00
2021-05-16;19,00;19,00;4,00;26,00;11,00;4,07;0,00;40,71;4,07
2021-05-23;23,00;23,00;12,00;12,00;0,00;0,00;0,00;16,24;4,06
2021-05-30;8,00;4,00;8,00;4,00;0,00;8,00;4,00;48,00;0,00
2021-06-06;20,00;20,00;8,00;24,00;0,00;8,00;4,00;24,00;4,00
2021-06-13;19,00;39,00;4,00;85,00;0,00;14,93;0,00;4,07;0,00
2021-06-20;23,00;11,00;0,00;54,00;4,00;8,12;8,12;18,94;0,00
2021-06-27;27,00;43,00;12,00;39,00;0,00;0,00;0,00;31,05;0,00
2021-07-04;23,00;39,00;12,00;35,00;4,00;3,83;7,67;26,83;0,00
2021-07-11;12,00;37,00;4,00;33,00;8,00;8,00;4,00;32,00;4,00
2021-07-18;9,00;41,00;5,00;27,00;0,00;3,86;0,00;34,71;3,86
2021-07-25;34,00;26,00;17,00;21,00;0,00;8,16;0,00;39,44;4,08
2021-08-01;26,00;26,00;4,00;35,00;0,00;0,00;0,00;16,90;9,10
2021-08-08;32,00;83,00;32,00;23,00;0,00;9,33;4,00;18,67;18,67
2021-08-15;100,00;4,00;17,00;22,00;0,00;8,00;0,00;38,67;4,00
2021-08-22;32,00;27,00;0,00;27,00;14,00;4,00;72,00;32,00;0,00
2021-08-29;31,00;36,00;4,00;18,00;0,00;0,00;0,00;26,96;4,04
2021-09-05;14,00;55,00;14,00;46,00;0,00;4,20;4,20;23,80;14,00
2021-09-12;13,00;18,00;4,00;35,00;9,00;3,90;9,10;22,10;13,00
2021-09-19;22,00;18,00;9,00;18,00;0,00;4,13;0,00;31,63;4,13
2021-09-26;22,00;9,00;4,00;35,00;0,00;4,13;4,13;31,63;0,00
2021-10-03;9,00;26,00;18,00;22,00;0,00;3,86;0,00;33,43;0,00
2021-10-10;9,00;40,00;26,00;40,00;0,00;3,86;0,00;9,00;0,00
2021-10-17;27,00;40,00;13,00;36,00;0,00;4,05;0,00;40,50;0,00
2021-10-24;35,00;40,00;9,00;9,00;4,00;4,04;0,00;22,88;0,00
2021-10-31;22,00;9,00;0,00;44,00;0,00;0,00;0,00;35,75;17,88
2021-11-07;13,00;27,00;9,00;31,00;4,00;9,10;9,10;65,00;0,00
2021-11-14;13,00;82,00;9,00;35,00;4,00;3,90;3,90;29,90;7,80
2021-11-21;4,00;25,00;8,00;42,00;0,00;4,00;4,00;49,33;0,00
2021-11-28;25,00;17,00;25,00;17,00;8,00;7,89;3,95;17,11;0,00
2021-12-05;17,00;9,00;13,00;26,00;4,00;0,00;3,92;17,00;13,08
2021-12-12;0,00;36,00;14,00;59,00;5,00;0,00;7,00;37,00;24,00
2021-12-19;20,00;24,00;15,00;25,00;5,00;14,67;5,33;34,67;0,00
2021-12-26;46,00;41,00;10,00;15,00;0,00;19,71;10,51;40,74;0,00
2022-01-02;29,00;67,00;29,00;14,00;0,00;24,86;5,52;40,05;5,52
2022-01-09;23,00;37,00;9,00;47,00;0,00;13,53;0,00;41,94;4,06
2022-01-16;98,00;47,00;9,00;19,00;5,00;0,00;4,03;65,78;4,03
2022-01-23;80,00;42,00;19,00;38,00;0,00;23,05;5,42;56,95;0,00
2022-01-30;29,00;34,00;19,00;39,00;0,00;5,27;5,27;32,95;5,27
2022-02-06;10,00;38,00;14,00;29,00;0,00;5,71;0,00;35,71;10,00
2022-02-13;23,00;42,00;33,00;19,00;0,00;3,83;5,11;67,72;0,00
2022-02-20;10,00;24,00;15,00;39,00;5,00;5,71;0,00;31,43;0,00
2022-02-27;23,00;18,00;0,00;23,00;0,00;0,00;0,00;23,00;0,00
