Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-12-29;39,00;78,00;61,75;68,25;71,50;63,82;74,45;63,82;47,86;69,00;53,00;39,00;33,00;23,00;53,00;25,00;56,00;36,00;43,00;16,00;26,00;13,00;26,00;26,00;0,00;17,00;16,00;7,00;13,00;26,00;16,00;10,00;10,00;10,00;3,00;3,00;7,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-01-05;49,00;76,56;39,81;58,19;82,69;61,70;72,59;47,19;23,59;47,00;49,00;55,00;38,00;29,00;41,00;13,00;44,00;20,00;12,00;20,00;15,00;3,00;26,00;20,00;3,00;18,00;23,00;17,00;17,00;3,00;6,00;9,00;0,00;0,00;12,00;6,00;12,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00
2020-01-12;71,00;55,57;74,09;67,91;71,00;80,10;58,26;63,72;63,72;60,00;17,00;46,00;34,00;43,00;23,00;34,00;46,00;34,00;29,00;23,00;31,00;9,00;17,00;17,00;0,00;17,00;20,00;9,00;17,00;17,00;3,00;14,00;9,00;9,00;3,00;3,00;0,00;11,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-01-19;53,00;81,06;84,18;68,59;59,24;71,28;69,45;38,38;43,86;100,00;59,00;32,00;47,00;24,00;47,00;16,00;18,00;27,00;38,00;24,00;29,00;6,00;18,00;15,00;6,00;15,00;24,00;0,00;9,00;18,00;15,00;18,00;3,00;6,00;9,00;6,00;9,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-01-26;41,00;107,23;126,15;100,92;82,00;67,74;110,52;82,00;64,17;83,00;56,00;35,00;35,00;59,00;21,00;29,00;44,00;42,00;21,00;24,00;41,00;24,00;27,00;12,00;0,00;21,00;9,00;24,00;15,00;12,00;9,00;3,00;6,00;6,00;15,00;18,00;6,00;3,00;9,00;3,00;0,00;0,00;0,00;0,00
2020-02-02;62,00;93,00;99,20;83,70;62,00;38,29;56,53;71,12;56,53;41,00;38,00;41,00;21,00;35,00;32,00;32,00;50,00;27,00;18,00;18,00;18,00;6,00;21,00;24,00;0,00;9,00;18,00;15,00;9,00;15,00;9,00;21,00;6,00;0,00;9,00;6,00;3,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-02-09;46,00;58,27;58,27;39,87;42,93;65,46;42,46;65,46;33,62;20,00;41,00;38,00;32,00;23,00;38,00;19,00;41,00;17,00;17,00;17,00;23,00;0,00;9,00;20,00;3,00;18,00;9,00;0,00;6,00;23,00;9,00;14,00;9,00;6,00;6,00;6,00;9,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00
2020-02-16;50,00;84,38;106,25;75,00;53,13;83,33;62,96;81,48;57,41;41,00;47,00;38,00;29,00;50,00;41,00;42,00;44,00;29,00;29,00;26,00;12,00;12,00;23,00;23,00;0,00;30,00;26,00;18,00;32,00;9,00;6,00;15,00;18,00;15,00;18,00;3,00;3,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;82,00;85,15;72,54;88,31;56,77;82,00;89,29;85,64;61,96;32,00;56,00;32,00;15,00;35,00;44,00;42,00;32,00;29,00;12,00;15,00;26,00;12,00;26,00;15,00;0,00;41,00;26,00;15,00;3,00;18,00;32,00;6,00;12,00;18,00;18,00;9,00;3,00;15,00;3,00;6,00;0,00;0,00;0,00;0,00
2020-03-01;40,00;76,92;104,62;92,31;58,46;74,55;94,55;83,64;65,45;40,00;57,00;26,00;26,00;26,00;26,00;44,00;51,00;20,00;20,00;23,00;34,00;3,00;20,00;11,00;3,00;20,00;11,00;14,00;17,00;14,00;11,00;9,00;3,00;0,00;6,00;3,00;3,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00
