Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-08;56,00;3,00;4,00;3,00;7,00;9,00;1,00;21,00;4,00;1,37;1,37;8,20;81,95;4,00;7,00;7,00;5,00;2,49;0,00;27,38;3,73;0,00;5,00;1,00;1,00;3,00;1,00;0,00;4,00;8,00;4,00;12,00;0,00;12,00;7,00;1,00;0,00;1,00;3,00;4,00;1,00;0,00;1,00;0,00
2019-09-15;48,00;8,00;11,00;3,00;8,00;9,00;3,00;31,00;1,00;1,37;0,00;12,34;87,77;4,00;4,00;4,00;5,00;7,38;0,00;39,38;1,23;0,00;8,00;3,00;0,00;0,00;0,00;1,00;8,00;4,00;7,00;3,00;3,00;7,00;17,00;0,00;1,00;1,00;8,00;4,00;0,00;0,00;1,00;0,00
2019-09-22;42,00;5,00;15,00;0,00;4,00;0,00;3,00;22,00;1,00;2,71;0,00;10,84;84,00;1,00;3,00;12,00;11,00;12,35;1,24;42,00;2,47;0,00;8,00;3,00;0,00;1,00;1,00;0,00;7,00;3,00;8,00;9,00;1,00;5,00;26,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;1,00;1,00
2019-09-29;73,00;8,00;8,00;4,00;4,00;7,00;1,00;25,00;5,00;2,75;0,00;19,28;85,40;1,00;0,00;7,00;3,00;4,95;0,00;47,02;1,24;0,00;1,00;3,00;0,00;1,00;0,00;0,00;7,00;5,00;7,00;7,00;0,00;10,00;16,00;1,00;0,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;44,00;8,00;7,00;0,00;5,00;1,00;3,00;23,00;1,00;1,38;2,75;16,50;82,50;8,00;4,00;15,00;7,00;8,80;2,51;37,71;5,03;1,00;8,00;1,00;1,00;0,00;0,00;1,00;5,00;4,00;5,00;16,00;0,00;10,00;16,00;3,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-10-13;39,00;7,00;12,00;1,00;4,00;7,00;1,00;18,00;1,00;5,38;1,34;9,41;72,62;3,00;3,00;11,00;7,00;6,29;0,00;33,97;1,26;0,00;9,00;0,00;0,00;4,00;0,00;0,00;7,00;9,00;1,00;11,00;0,00;11,00;8,00;3,00;3,00;1,00;3,00;5,00;0,00;0,00;0,00;0,00
2019-10-20;52,00;4,00;7,00;3,00;8,00;11,00;1,00;24,00;0,00;1,37;1,37;12,32;45,16;9,00;5,00;7,00;16,00;8,67;0,00;28,48;6,19;0,00;4,00;3,00;0,00;3,00;0,00;0,00;11,00;4,00;3,00;9,00;1,00;4,00;8,00;0,00;0,00;0,00;5,00;1,00;0,00;0,00;0,00;0,00
2019-10-27;58,00;9,00;9,00;1,00;7,00;5,00;4,00;25,00;1,00;1,35;0,00;10,79;70,14;7,00;7,00;22,00;8,00;8,64;0,00;37,02;4,94;1,00;12,00;1,00;1,00;1,00;3,00;0,00;8,00;8,00;1,00;5,00;1,00;9,00;11,00;0,00;0,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00
2019-11-03;53,00;3,00;1,00;1,00;8,00;3,00;1,00;24,00;0,00;2,72;2,72;14,95;76,10;9,00;3,00;5,00;12,00;12,62;2,52;32,81;3,79;0,00;16,00;4,00;1,00;1,00;5,00;1,00;4,00;5,00;0,00;8,00;1,00;9,00;12,00;0,00;0,00;1,00;1,00;0,00;3,00;0,00;0,00;0,00
2019-11-10;53,00;8,00;12,00;4,00;6,00;5,00;1,00;25,00;1,00;8,15;1,36;9,51;84,26;3,00;6,00;9,00;6,00;9,86;0,00;38,21;2,47;1,00;5,00;3,00;0,00;1,00;4,00;1,00;1,00;8,00;5,00;6,00;1,00;6,00;8,00;0,00;1,00;1,00;3,00;4,00;0,00;0,00;0,00;1,00
