Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-11-10;38,00;2,81;1,41;0,00;33,78;10,86;2,17;3,26;1,09;8,00;2,00;21,00;0,00;5,00;11,00;5,00;5,00;3,00;0,00;2,00;2,00;2,00;0,00;2,00;0,00;1,00;2,00;7,00;7,00;0,00;1,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00
2019-11-17;55,00;5,79;4,34;2,89;31,84;3,24;3,24;4,31;1,08;3,00;0,00;18,00;0,00;5,00;3,00;6,00;6,00;5,00;0,00;0,00;1,00;1,00;0,00;1,00;1,00;3,00;1,00;8,00;2,00;1,00;0,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;42,00;4,34;2,90;2,90;33,31;6,46;2,15;5,38;2,15;11,00;4,00;22,00;1,00;13,00;2,00;6,00;6,00;3,00;1,00;2,00;2,00;1,00;1,00;2,00;0,00;1,00;1,00;6,00;6,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;60,00;5,71;10,00;0,00;45,71;4,29;3,21;4,29;3,21;8,00;1,00;41,00;1,00;10,00;3,00;7,00;5,00;10,00;1,00;8,00;2,00;1,00;2,00;7,00;0,00;2,00;3,00;10,00;7,00;0,00;0,00;2,00;2,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;69,00;4,31;2,88;1,44;24,44;7,55;3,23;6,47;2,16;17,00;0,00;21,00;0,00;12,00;5,00;5,00;8,00;7,00;0,00;5,00;2,00;0,00;3,00;6,00;0,00;2,00;5,00;12,00;6,00;1,00;1,00;1,00;3,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-12-15;63,00;2,86;2,86;1,43;35,80;5,34;1,07;3,20;0,00;20,00;3,00;23,00;0,00;14,00;5,00;7,00;5,00;5,00;0,00;5,00;2,00;1,00;2,00;2,00;0,00;3,00;5,00;12,00;3,00;0,00;3,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;100,00;8,57;2,86;4,29;44,29;4,30;4,30;8,60;1,08;15,00;1,00;33,00;8,00;14,00;17,00;14,00;4,00;26,00;0,00;15,00;4,00;3,00;4,00;8,00;0,00;1,00;7,00;19,00;1,00;3,00;1,00;1,00;11,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;88,00;7,10;5,68;1,42;38,32;15,02;4,29;6,44;3,22;20,00;3,00;38,00;3,00;23,00;8,00;9,00;11,00;24,00;0,00;17,00;4,00;4,00;1,00;12,00;1,00;3,00;1,00;27,00;7,00;0,00;3,00;0,00;7,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-01-05;73,00;4,21;4,21;2,81;46,33;2,15;8,59;3,22;4,29;20,00;3,00;34,00;1,00;18,00;13,00;8,00;12,00;23,00;0,00;8,00;3,00;4,00;0,00;7,00;1,00;6,00;4,00;21,00;8,00;1,00;7,00;2,00;6,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2020-01-12;63,00;8,59;2,86;1,43;42,95;5,34;5,34;3,20;1,07;22,00;1,00;35,00;37,00;11,00;8,00;20,00;10,00;27,00;0,00;4,00;0,00;1,00;2,00;8,00;2,00;8,00;1,00;14,00;3,00;0,00;1,00;1,00;2,00;0,00;9,00;1,00;0,00;0,00;0,00;0,00
2020-01-19;49,00;7,00;2,80;1,40;32,20;6,39;1,07;7,46;3,20;17,00;3,00;37,00;1,00;17,00;12,00;8,00;2,00;23,00;1,00;1,00;4,00;1,00;2,00;9,00;0,00;3,00;3,00;14,00;22,00;0,00;3,00;1,00;4,00;1,00;4,00;2,00;0,00;0,00;0,00;0,00
2020-01-26;66,00;9,83;4,21;5,62;30,89;8,52;0,00;6,39;2,13;11,00;0,00;22,00;2,00;10,00;8,00;12,00;10,00;13,00;0,00;8,00;2,00;0,00;2,00;7,00;0,00;2,00;1,00;13,00;12,00;1,00;9,00;12,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;86,00;9,87;7,05;2,82;33,84;9,56;2,12;8,49;4,25;17,00;0,00;26,00;4,00;16,00;7,00;17,00;14,00;14,00;0,00;2,00;2,00;1,00;0,00;7,00;0,00;4,00;1,00;6,00;7,00;0,00;7,00;2,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-02-09;94,00;9,97;2,85;1,42;21,36;4,32;5,40;108,05;2,16;21,00;0,00;35,00;0,00;21,00;7,00;10,00;16,00;21,00;0,00;13,00;2,00;1,00;0,00;9,00;2,00;3,00;8,00;24,00;2,00;1,00;2,00;0,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2020-02-16;61,00;8,51;4,26;2,84;34,05;4,28;2,14;6,42;1,07;14,00;1,00;22,00;6,00;11,00;6,00;7,00;7,00;10,00;0,00;8,00;2,00;3,00;1,00;6,00;2,00;1,00;2,00;10,00;7,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-02-23;46,00;5,58;6,97;0,00;29,27;3,21;4,28;5,35;3,21;15,00;1,00;19,00;1,00;9,00;7,00;6,00;7,00;19,00;0,00;8,00;1,00;0,00;2,00;3,00;0,00;3,00;4,00;10,00;3,00;1,00;2,00;1,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;53,00;4,30;4,30;0,00;25,78;3,24;1,08;7,57;1,08;11,00;1,00;21,00;0,00;12,00;6,00;6,00;6,00;7,00;0,00;7,00;2,00;1,00;0,00;2,00;1,00;2,00;2,00;10,00;3,00;0,00;0,00;0,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-03-08;42,00;5,79;5,79;1,45;144,83;9,69;7,54;5,38;2,15;15,00;2,00;46,00;2,00;7,00;6,00;9,00;8,00;14,00;0,00;4,00;2,00;4,00;1,00;5,00;0,00;7,00;9,00;9,00;5,00;1,00;2,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-03-15;18,00;3,00;1,50;0,00;58,50;1,13;0,00;6,75;0,00;2,00;0,00;9,00;0,00;2,00;10,00;2,00;6,00;2,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;6,00;0,00;1,50;0,00;28,50;0,00;0,00;2,40;0,00;0,00;0,00;3,00;0,00;2,00;9,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;9,00;1,50;1,50;0,00;30,00;0,00;2,25;1,13;0,00;1,00;0,00;3,00;0,00;1,00;5,00;0,00;0,00;1,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
